"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 20 09:30:31 GMT 2023","Mon Nov 20 09:30:31 GMT 2023","531","webkit","saucedemo-login.spec.ts","Login tests","","","Login without username",""
"passed","Mon Nov 20 09:30:09 GMT 2023","Mon Nov 20 09:30:14 GMT 2023","5653","firefox","saucedemo-login.spec.ts","Login tests","","","Perfomance user login",""
"passed","Mon Nov 20 09:30:04 GMT 2023","Mon Nov 20 09:30:04 GMT 2023","341","chromium","saucedemo-login.spec.ts","Login tests","","","Login without username",""
"passed","Mon Nov 20 09:30:31 GMT 2023","Mon Nov 20 09:30:32 GMT 2023","570","webkit","saucedemo-login.spec.ts","Login tests","","","Login without password",""
"passed","Mon Nov 20 09:29:58 GMT 2023","Mon Nov 20 09:30:03 GMT 2023","5423","chromium","saucedemo-login.spec.ts","Login tests","","","Perfomance user login",""
"passed","Mon Nov 20 09:30:03 GMT 2023","Mon Nov 20 09:30:04 GMT 2023","409","chromium","saucedemo-login.spec.ts","Login tests","","","Not existing user login",""
"passed","Mon Nov 20 09:30:16 GMT 2023","Mon Nov 20 09:30:16 GMT 2023","573","firefox","saucedemo-login.spec.ts","Login tests","","","Login without password",""
"passed","Mon Nov 20 09:30:05 GMT 2023","Mon Nov 20 09:30:07 GMT 2023","2206","firefox","saucedemo-login.spec.ts","Login tests","","","Login page has correct title",""
"passed","Mon Nov 20 09:30:04 GMT 2023","Mon Nov 20 09:30:04 GMT 2023","375","chromium","saucedemo-login.spec.ts","Login tests","","","Login without password",""
"passed","Mon Nov 20 09:30:14 GMT 2023","Mon Nov 20 09:30:15 GMT 2023","637","firefox","saucedemo-login.spec.ts","Login tests","","","Not existing user login",""
"passed","Mon Nov 20 09:29:55 GMT 2023","Mon Nov 20 09:29:56 GMT 2023","1554","chromium","saucedemo-login.spec.ts","Login tests","","","Login page has correct title",""
"passed","Mon Nov 20 09:30:24 GMT 2023","Mon Nov 20 09:30:30 GMT 2023","5645","webkit","saucedemo-login.spec.ts","Login tests","","","Perfomance user login",""
"passed","Mon Nov 20 09:29:57 GMT 2023","Mon Nov 20 09:29:58 GMT 2023","449","chromium","saucedemo-login.spec.ts","Login tests","","","Problem user login",""
"passed","Mon Nov 20 09:30:07 GMT 2023","Mon Nov 20 09:30:08 GMT 2023","591","firefox","saucedemo-login.spec.ts","Login tests","","","Locked user login",""
"passed","Mon Nov 20 09:30:17 GMT 2023","Mon Nov 20 09:30:22 GMT 2023","5103","webkit","saucedemo-login.spec.ts","Login tests","","","Login page has correct title",""
"passed","Mon Nov 20 09:30:30 GMT 2023","Mon Nov 20 09:30:31 GMT 2023","646","webkit","saucedemo-login.spec.ts","Login tests","","","Not existing user login",""
"passed","Mon Nov 20 09:30:15 GMT 2023","Mon Nov 20 09:30:16 GMT 2023","680","firefox","saucedemo-login.spec.ts","Login tests","","","Login without username",""
"passed","Mon Nov 20 09:29:56 GMT 2023","Mon Nov 20 09:29:57 GMT 2023","450","chromium","saucedemo-login.spec.ts","Login tests","","","Standart user login",""
"passed","Mon Nov 20 09:30:22 GMT 2023","Mon Nov 20 09:30:23 GMT 2023","763","webkit","saucedemo-login.spec.ts","Login tests","","","Standart user login",""
"passed","Mon Nov 20 09:30:08 GMT 2023","Mon Nov 20 09:30:09 GMT 2023","618","firefox","saucedemo-login.spec.ts","Login tests","","","Problem user login",""
"passed","Mon Nov 20 09:30:07 GMT 2023","Mon Nov 20 09:30:07 GMT 2023","593","firefox","saucedemo-login.spec.ts","Login tests","","","Standart user login",""
"passed","Mon Nov 20 09:30:23 GMT 2023","Mon Nov 20 09:30:24 GMT 2023","821","webkit","saucedemo-login.spec.ts","Login tests","","","Locked user login",""
"passed","Mon Nov 20 09:30:24 GMT 2023","Mon Nov 20 09:30:24 GMT 2023","680","webkit","saucedemo-login.spec.ts","Login tests","","","Problem user login",""
"passed","Mon Nov 20 09:29:57 GMT 2023","Mon Nov 20 09:29:57 GMT 2023","413","chromium","saucedemo-login.spec.ts","Login tests","","","Locked user login",""
